c_charge_desc,count,c_charge_degree_detailed
Lewd Act Presence Child 16-,1,F3
Agg Abuse Elderlly/Disabled Adult,1,F3
Lewd/Lasc Exhib Presence <16yr,1,F2
Lewd/Lasciv Molest Elder Persn,1,F3
License Suspended Revoked,1,M2
Littering,1,M1
Manage Busn W/O City Occup Lic,1,M1
Aggravated Battery (Firearm/Actual Possession),1,F2
Money Launder 100K or More Dols,1,F2
Murder In 2nd Degree W/firearm,1,F1
Neglect/Abuse Elderly Person,1,F2
Offer Agree Secure For Lewd Act,1,M1
Offer Agree Secure/Lewd Act,1,M1
Offn Against Intellectual Prop,1,F3
Pos Cannabis For Consideration,1,M1
Lease For Purpose Trafficking,1,F3
Issuing a Worthless Draft,1,M1
Intoxicated/Safety Of Another,1,M2
False Info LEO During Invest,1,M1
Exhibition Weapon School Prop,1,F3
Fabricating Physical Evidence,1,F3
Fail Sex Offend Report Bylaw,1,F3
Failure To Pay Taxi Cab Charge,1,M1
False 911 Call,1,M1
False Bomb Report,1,F2
False Name By Person Arrest,1,M1
Interference with Custody,1,F3
Falsely Impersonating Officer,1,F3
Aiding Escape,1,F3
Aide/Abet Prostitution Lewdness,1,M1
Grand Theft of a Fire Extinquisher,1,F3
Hiring with Intent to Defraud,1,F3
Interfere W/Traf Cont Dev RR,1,M2
Abuse Without Great Harm,1,F3
